pathway	pval	padj	ES	NES	nMoreExtreme	size	fill
HALLMARK EPITHELIAL MESENCHYMAL TRANSITION	0.000105730598435187	0.000609629710913591	0.816909563167705	2.31472253045971	0	182	significant
HALLMARK INFLAMMATORY RESPONSE	0.00010756157900398	0.000609629710913591	0.684820152810305	1.92099040663445	0	156	significant
HALLMARK KRAS SIGNALING UP	0.00010653030787259	0.000609629710913591	0.680525474048254	1.91925834562073	0	171	significant
HALLMARK UV RESPONSE DN	0.000109733347964446	0.000609629710913591	0.680714859351114	1.88379669269154	0	130	significant
HALLMARK TNFA SIGNALING VIA NFKB	0.000106010813102936	0.000609629710913591	0.654952241339231	1.8529389490932	0	179	significant
HALLMARK MYOGENESIS	0.000107944732297064	0.000609629710913591	0.661418870235504	1.85183941785967	0	152	significant
HALLMARK ANGIOGENESIS	0.000272963013511669	0.00136481506755835	0.775650872796466	1.81059919620891	1	32	significant
HALLMARK APICAL JUNCTION	0.000107066381156317	0.000609629710913591	0.643030751006231	1.8084784725959	0	163	significant
HALLMARK HEDGEHOG SIGNALING	0.000409444520267504	0.00170601883444793	0.77298909139947	1.80438580894034	2	32	significant
HALLMARK APICAL SURFACE	0.000672494956287828	0.00206679894179894	0.73307484787496	1.73354984731473	4	35	significant
HALLMARK NOTCH SIGNALING	0.00151140423193185	0.00343500961802693	0.745694001639882	1.73110314908361	10	31	significant
HALLMARK ESTROGEN RESPONSE EARLY	0.000106022052586938	0.000609629710913591	0.598623868779103	1.69350920068699	0	178	significant
HALLMARK TGF BETA SIGNALING	0.000378596668349319	0.00170601883444793	0.674250257553289	1.6891835330075	2	52	significant
HALLMARK ALLOGRAFT REJECTION	0.000106746370623399	0.000609629710913591	0.595789947056277	1.67827740834502	0	167	significant
HALLMARK HYPOXIA	0.000637890708058686	0.00206679894179894	0.54572922839002	1.54096953261671	5	174	significant
HALLMARK INTERFERON GAMMA RESPONSE	0.00073909830007391	0.00206679894179894	0.542826541239917	1.53949083558551	6	184	significant
HALLMARK APOPTOSIS	0.00118598382749326	0.00299760191846523	0.54995809383341	1.539043837366	10	150	significant
HALLMARK COMPLEMENT	0.000638637573177222	0.00206679894179894	0.541914033673089	1.52894484304836	5	172	significant
HALLMARK IL2 STAT5 SIGNALING	0.000744047619047619	0.00206679894179894	0.54074566122929	1.52707238181528	6	175	significant
HALLMARK IL6 JAK STAT3 SIGNALING	0.00992321323095097	0.0183763207980574	0.575305586664525	1.51300682158314	83	76	significant
HALLMARK COAGULATION	0.0165727543917799	0.0267302490189999	0.510892031919435	1.40855687496284	149	124	significant
HALLMARK ESTROGEN RESPONSE LATE	0.013072590073334	0.0225389484023001	0.490270546190418	1.3842068225565	122	173	significant
HALLMARK INTERFERON ALPHA RESPONSE	0.0482607694079705	0.0754074521999539	0.502228550740679	1.34606945844725	418	91	non-significant
HALLMARK WNT BETA CATENIN SIGNALING	0.144363876071193	0.195086319015126	0.525906004424002	1.26584198531184	1094	39	non-significant
HALLMARK MITOTIC SPINDLE	0.079979035639413	0.121180357029414	0.434119338001675	1.2364943757088	762	197	non-significant
HALLMARK P53 PATHWAY	0.134093548727695	0.189933523266857	0.421235842089761	1.19465182567541	1269	184	non-significant
HALLMARK ANDROGEN RESPONSE	0.307674552798615	0.389273356401384	0.412527138922715	1.10398791442763	2665	90	non-significant
HALLMARK PI3K AKT MTOR SIGNALING	0.44758296015616	0.520445302507163	0.379233136844198	1.01940100958538	3897	94	non-significant
HALLMARK PROTEIN SECRETION	0.602115915363385	0.669017683737095	0.34747006249033	0.93310535260476	5235	93	non-significant
HALLMARK PANCREAS BETA CELLS	0.586919104991394	0.666953528399312	0.416322731908999	0.921273691374097	4091	23	non-significant
HALLMARK KRAS SIGNALING DN	0.75	0.815217391304348	0.316828778417593	0.844312760522064	6455	86	non-significant
HALLMARK GLYCOLYSIS	0.843970883004536	0.879136336463059	0.289016983220788	0.820138433021437	7999	186	non-significant
HALLMARK SPERMATOGENESIS	0.796176821983274	0.846996619131142	0.307705559214885	0.804994943193784	6663	73	non-significant
HALLMARK HEME METABOLISM	0.868745312332583	0.886474808502636	0.283297891127896	0.796377867371568	8107	162	non-significant
HALLMARK G2M CHECKPOINT	1	1	-0.168121797716191	-0.646363909511691	504	190	non-significant
HALLMARK UV RESPONSE UP	0.393034825870647	0.46789860222696	-0.273228741210814	-1.01675508030934	315	142	non-significant
HALLMARK MTORC1 SIGNALING	0.329113924050633	0.401358443964186	-0.2669536489957	-1.02752214656464	155	195	non-significant
HALLMARK BILE ACID METABOLISM	0.311418685121107	0.389273356401384	-0.292432059830195	-1.04734067916317	359	105	non-significant
HALLMARK E2F TARGETS	0.136752136752137	0.189933523266857	-0.286026332330095	-1.10178079523939	63	196	non-significant
HALLMARK REACTIVE OXIGEN SPECIES PATHWAY	0.238158477202302	0.31336641737145	-0.373917128561805	-1.13080497779463	537	44	non-significant
HALLMARK ADIPOGENESIS	0.10036496350365	0.147595534564191	-0.29656834415129	-1.13185353240417	54	181	non-significant
HALLMARK PEROXISOME	0.0145482388973966	0.0242470648289944	-0.405491481860659	-1.41998651900095	18	93	significant
HALLMARK CHOLESTEROL HOMEOSTASIS	0.0110294117647059	0.0196953781512605	-0.437939010937393	-1.46967829204307	17	73	significant
HALLMARK UNFOLDED PROTEIN RESPONSE	0.00173913043478261	0.00378071833648393	-0.42646117562642	-1.52978639382051	1	106	significant
HALLMARK XENOBIOTIC METABOLISM	0.00198019801980198	0.00396039603960396	-0.421205419968292	-1.61937348789127	0	190	significant
HALLMARK FATTY ACID METABOLISM	0.00129032258064516	0.00307219662058372	-0.474941412833737	-1.77574506751499	0	146	significant
HALLMARK DNA REPAIR	0.00119904076738609	0.00299760191846523	-0.48716788383077	-1.80945668164108	0	138	significant
HALLMARK MYC TARGETS V2	0.000518403317781234	0.00199385891454321	-0.652032812828989	-2.08777783436486	0	58	significant
HALLMARK OXIDATIVE PHOSPHORYLATION	0.00183823529411765	0.0038296568627451	-0.557075386115003	-2.12516006713059	0	182	significant
HALLMARK MYC TARGETS V1	0.00210970464135021	0.00405712431028887	-0.593944848615925	-2.28613277281208	0	195	significant
