pathway	pval	padj	ES	NES	nMoreExtreme	size	fill
HALLMARK EPITHELIAL MESENCHYMAL TRANSITION	0.000130208333333333	0.000826500925681037	0.658185828092162	2.14261219877977	0	177	significant
HALLMARK ALLOGRAFT REJECTION	0.000131630906936949	0.000826500925681037	0.638892614086881	2.06156745410849	0	162	significant
HALLMARK G2M CHECKPOINT	0.000128336755646817	0.000826500925681037	0.567276850611153	1.86275938959163	0	189	significant
HALLMARK INFLAMMATORY RESPONSE	0.000132240148108966	0.000826500925681037	0.578299985832067	1.85292663464304	0	150	significant
HALLMARK MITOTIC SPINDLE	0.000127697612054655	0.000826500925681037	0.546007910728516	1.79771603267655	0	195	significant
HALLMARK NOTCH SIGNALING	0.00174658621784694	0.00436646554461734	0.692808344572853	1.7575702100159	10	31	significant
HALLMARK ANGIOGENESIS	0.00333174678724417	0.00793273044581945	0.659672243700095	1.69166347239704	20	33	significant
HALLMARK APICAL JUNCTION	0.000131630906936949	0.000826500925681037	0.518879283249283	1.67431054823932	0	162	significant
HALLMARK E2F TARGETS	0.000127567291746396	0.000826500925681037	0.498566517447355	1.64231082130231	0	196	significant
HALLMARK WNT BETA CATENIN SIGNALING	0.00560049782202863	0.0121749952652796	0.618024683893243	1.6339307958957	35	39	significant
HALLMARK MYOGENESIS	0.000132240148108966	0.000826500925681037	0.509386799560987	1.63212241287555	0	150	significant
HALLMARK TGF BETA SIGNALING	0.00501215066828676	0.0113912515188335	0.581780064747371	1.61428256085224	32	52	significant
HALLMARK UV RESPONSE DN	0.00107744107744108	0.00283537125642389	0.503523721610318	1.58109878931733	7	126	significant
HALLMARK KRAS SIGNALING UP	0.00104465917994254	0.00283537125642389	0.483319132716839	1.5659192572346	7	168	significant
HALLMARK TNFA SIGNALING VIA NFKB	0.00078125	0.00244140625	0.478647006525898	1.55815405212312	5	177	significant
HALLMARK IL2 STAT5 SIGNALING	0.00104329681794471	0.00283537125642389	0.476073372489787	1.5456593430146	7	171	significant
HALLMARK IL6 JAK STAT3 SIGNALING	0.00992121388969945	0.0206691956035405	0.517971247183057	1.51663284784359	67	74	significant
HALLMARK HYPOXIA	0.0257980456026059	0.0515960912052117	0.40969555526822	1.33062265706968	197	172	non-significant
HALLMARK APICAL SURFACE	0.100488265868641	0.179443331908287	0.513913596949866	1.32711723833892	637	34	non-significant
HALLMARK HEDGEHOG SIGNALING	0.186825575777098	0.301331573834029	0.491532374711263	1.22039873502671	1159	28	non-significant
HALLMARK COMPLEMENT	0.155845852384063	0.259743087306771	0.360079540453297	1.16613978080521	1192	167	non-significant
HALLMARK APOPTOSIS	0.238556454822874	0.37274446066074	0.346652569090373	1.10840256506589	1797	147	non-significant
HALLMARK ESTROGEN RESPONSE EARLY	0.338852672750978	0.498312754045556	0.324206403571823	1.05181006197839	2598	170	non-significant
HALLMARK INTERFERON GAMMA RESPONSE	0.357466063348416	0.510665804783452	0.31919950777328	1.04275324179086	2764	182	non-significant
HALLMARK GLYCOLYSIS	0.424046541693601	0.573035867153514	0.310315704102702	1.01373184654639	3279	182	non-significant
HALLMARK ESTROGEN RESPONSE LATE	0.485943247503941	0.639399009873607	0.304784034604536	0.985346335682437	3698	164	non-significant
HALLMARK PI3K AKT MTOR SIGNALING	0.503325314843639	0.645288865184153	0.323158914299514	0.974097178415893	3556	91	non-significant
HALLMARK P53 PATHWAY	0.592606953599586	0.740758691999483	0.289185498474723	0.946203947073807	4584	185	non-significant
HALLMARK MTORC1 SIGNALING	0.6451365841205	0.753573281758574	0.282178304955999	0.929017140545898	5053	194	non-significant
HALLMARK CHOLESTEROL HOMEOSTASIS	0.631625183016105	0.753573281758574	0.311723616960874	0.910118769325615	4313	73	non-significant
HALLMARK SPERMATOGENESIS	0.737339435995866	0.837885722722575	0.296458663492284	0.858367243708377	4993	68	non-significant
HALLMARK UV RESPONSE UP	0.921958377801494	0.993915381349936	0.249279242032917	0.792114710748825	6910	139	non-significant
