pathway	pval	padj	ES	NES	nMoreExtreme	size	fill
HALLMARK EPITHELIAL MESENCHYMAL TRANSITION	0.000111333778668448	0.00188515627945557	0.648521580568155	1.94397175674165	0	177	significant
HALLMARK ALLOGRAFT REJECTION	0.000113109376767334	0.00188515627945557	0.592796810771264	1.75873329686353	0	155	significant
HALLMARK G2M CHECKPOINT	0.000110840168477056	0.00188515627945557	0.579143509201529	1.74227584926022	0	189	significant
HALLMARK E2F TARGETS	0.000220070422535211	0.00220070422535211	0.552749968370343	1.66739938189759	1	195	significant
HALLMARK MITOTIC SPINDLE	0.00021978021978022	0.00220070422535211	0.530472633686211	1.60115297266854	1	196	significant
HALLMARK MYOGENESIS	0.000458242639477603	0.00375544539582394	0.542330843949009	1.5975643071424	3	144	significant
HALLMARK APICAL JUNCTION	0.000677277345072807	0.00375544539582394	0.522655298377238	1.55412733836084	5	161	significant
HALLMARK INFLAMMATORY RESPONSE	0.00204754862927995	0.00682516209759982	0.519648979461763	1.5360767305637	17	148	significant
HALLMARK ANGIOGENESIS	0.0230414746543779	0.0576036866359447	0.619075282922019	1.50140439717172	164	33	non-significant
HALLMARK TNFA SIGNALING VIA NFKB	0.00478735248274326	0.0140804484786567	0.481876434051822	1.44444565316616	42	177	significant
HALLMARK HYPOXIA	0.0221130221130221	0.0576036866359447	0.450497815908586	1.34742030482923	197	171	non-significant
HALLMARK ESTROGEN RESPONSE LATE	0.0224105251421563	0.0576036866359447	0.449186425173884	1.34436206664532	200	172	non-significant
HALLMARK IL2 STAT5 SIGNALING	0.0502568684386866	0.119659210568301	0.428050496526781	1.28028130247241	449	171	non-significant
HALLMARK PANCREAS BETA CELLS	0.163604549431321	0.309013413563997	0.557660979547985	1.26714089220607	1121	23	non-significant
HALLMARK WNT BETA CATENIN SIGNALING	0.147772446881426	0.307859264336303	0.504026375485427	1.25434076914454	1077	39	non-significant
HALLMARK APICAL SURFACE	0.169708791974363	0.309013413563997	0.509718951877186	1.24232212023187	1217	34	non-significant
HALLMARK NOTCH SIGNALING	0.182471466816965	0.309013413563997	0.512935357180903	1.22842686111275	1294	31	non-significant
HALLMARK KRAS SIGNALING UP	0.0982515510434292	0.223298979644157	0.409902929752858	1.21974933560696	870	164	non-significant
HALLMARK TGF BETA SIGNALING	0.169766521567076	0.309013413563997	0.466240385380772	1.21567070445514	1286	52	non-significant
HALLMARK IL6 JAK STAT3 SIGNALING	0.185408048138398	0.309013413563997	0.429490737798295	1.18179605637454	1478	74	non-significant
HALLMARK GLYCOLYSIS	0.179301911960872	0.309013413563997	0.383730396403005	1.15170372588728	1612	181	non-significant
HALLMARK P53 PATHWAY	0.238809285793624	0.385176267409072	0.3711242574227	1.11504795748601	2149	185	non-significant
HALLMARK UV RESPONSE DN	0.276320391745365	0.431750612102134	0.376944817947286	1.09920588626391	2369	127	non-significant
HALLMARK INTERFERON GAMMA RESPONSE	0.285381026438569	0.432395494603893	0.362347320293411	1.08813757416233	2568	182	non-significant
HALLMARK APOPTOSIS	0.33439708228858	0.477710117555114	0.360753214448676	1.06518508227978	2933	146	non-significant
HALLMARK UV RESPONSE UP	0.388984707370358	0.540256538014386	0.35316537424558	1.03870827046255	3382	140	non-significant
HALLMARK HEDGEHOG SIGNALING	0.418624398528163	0.56570864665968	0.437714343376039	1.03710082473214	2957	29	non-significant
HALLMARK MYC TARGETS V1	0.452464788732394	0.583628496397297	0.335416208558926	1.01180065279511	4111	195	non-significant
HALLMARK PI3K AKT MTOR SIGNALING	0.455230227189892	0.583628496397297	0.357488133627933	1.00828780452512	3746	92	non-significant
HALLMARK ESTROGEN RESPONSE EARLY	0.546699320939553	0.666706488950674	0.324258247505556	0.970984049931114	4910	173	non-significant
HALLMARK CHOLESTEROL HOMEOSTASIS	0.541164658634538	0.666706488950674	0.350432203778033	0.962257717001474	4311	73	non-significant
HALLMARK SPERMATOGENESIS	0.681742897184355	0.811598687124232	0.326617112898031	0.884224829812829	5350	66	non-significant
HALLMARK KRAS SIGNALING DN	0.708856042727611	0.824251212473967	0.313515832112692	0.868600153753782	5706	78	non-significant
HALLMARK COMPLEMENT	0.834475783795932	0.927195315328813	0.280330359210953	0.836295982480155	7425	167	non-significant
HALLMARK MTORC1 SIGNALING	0.953099196300782	1	0.251511274816225	0.758412494530887	8656	194	non-significant
HALLMARK UNFOLDED PROTEIN RESPONSE	0.96986301369863	1	0.244209928291308	0.700118597697582	8141	106	non-significant
HALLMARK INTERFERON ALPHA RESPONSE	0.998298906439854	1	0.209276831642095	0.589564366539376	8215	91	non-significant
HALLMARK DNA REPAIR	1	1	-0.193818924661402	-0.694096871224182	1316	137	non-significant
HALLMARK MYC TARGETS V2	0.873623954205196	0.949591254570865	-0.258722125629757	-0.818578256936112	1983	58	non-significant
