pathway	pval	padj	ES	NES	nMoreExtreme	size	fill
HALLMARK ALLOGRAFT REJECTION	0.0002389486260454	0.0040980247520695	0.645129252996223	1.96671162279756	0	147	significant
HALLMARK INTERFERON GAMMA RESPONSE	0.00024588148512417	0.0040980247520695	0.587685418188144	1.83195634493141	0	176	significant
HALLMARK INTERFERON ALPHA RESPONSE	0.000447227191413238	0.00559033989266547	0.614875031191846	1.74408485347489	1	88	significant
HALLMARK INFLAMMATORY RESPONSE	0.000704225352112676	0.00704225352112676	0.571591070454154	1.70667092780554	2	127	significant
HALLMARK APOPTOSIS	0.00549581839904421	0.0392558457074586	0.496173014196675	1.50284470025226	22	141	significant
HALLMARK EPITHELIAL MESENCHYMAL TRANSITION	0.00675675675675676	0.0422297297297297	0.476371801560449	1.46321515107603	27	156	significant
HALLMARK ANGIOGENESIS	0.0456640134059489	0.149159663865546	0.61277047971107	1.46168753295975	217	31	non-significant
HALLMARK TNFA SIGNALING VIA NFKB	0.00879550451991204	0.0487987987987988	0.465779155901211	1.44371100430475	35	168	significant
HALLMARK HYPOXIA	0.0116703136396791	0.0512253094008688	0.458561469542787	1.41796584102318	47	164	non-significant
HALLMARK XENOBIOTIC METABOLISM	0.00975975975975976	0.0487987987987988	0.444848989486802	1.40136239216343	38	192	significant
HALLMARK COMPLEMENT	0.0176883935061788	0.0680322827160724	0.452150529771248	1.39398863674796	72	161	non-significant
HALLMARK GLYCOLYSIS	0.0122940742562085	0.0512253094008688	0.447109055438665	1.39374611933102	49	176	non-significant
HALLMARK IL6 JAK STAT3 SIGNALING	0.078066090042138	0.195165225105345	0.476397951223716	1.30661343056918	351	71	non-significant
HALLMARK MYOGENESIS	0.0507142857142857	0.149159663865546	0.429855407852821	1.29482856940949	212	136	non-significant
HALLMARK COAGULATION	0.0771220315071714	0.195165225105345	0.428892004604545	1.26442240121535	327	117	non-significant
HALLMARK KRAS SIGNALING UP	0.0927263969171484	0.22077713551702	0.398111632721442	1.22163088427189	384	155	non-significant
HALLMARK ESTROGEN RESPONSE EARLY	0.172590068159688	0.347658819708716	0.370408795234332	1.14389357139829	708	163	non-significant
HALLMARK UV RESPONSE DN	0.189542483660131	0.347658819708716	0.385705953647038	1.14301353902297	811	120	non-significant
HALLMARK IL2 STAT5 SIGNALING	0.201642115431055	0.347658819708716	0.364898292194589	1.12243771883635	834	158	non-significant
HALLMARK P53 PATHWAY	0.192440711462451	0.347658819708716	0.358593054082345	1.12070583885114	778	179	non-significant
HALLMARK NOTCH SIGNALING	0.307773109243697	0.496408240715641	0.469624910257635	1.11190794592411	1464	30	non-significant
HALLMARK CHOLESTEROL HOMEOSTASIS	0.287438533750559	0.479064222917598	0.397848579167271	1.09582774518591	1285	73	non-significant
HALLMARK UV RESPONSE UP	0.397380952380952	0.602092352092352	0.338001365184985	1.01814195226033	1668	136	non-significant
HALLMARK APICAL JUNCTION	0.413127413127413	0.607540313422666	0.328281673993737	1.00579415514855	1711	154	non-significant
HALLMARK TGF BETA SIGNALING	0.510120585701981	0.71496633996634	0.368730004959034	0.96390849911804	2368	52	non-significant
HALLMARK ESTROGEN RESPONSE LATE	0.557673745173745	0.71496633996634	0.310804028547629	0.95466012492062	2310	156	non-significant
HALLMARK APICAL SURFACE	0.553151260504202	0.71496633996634	0.394696687865384	0.934504056070387	2632	30	non-significant
HALLMARK PI3K AKT MTOR SIGNALING	0.782039711191336	0.909348501385274	0.298424596522537	0.850611398058788	3465	91	non-significant
HALLMARK MITOTIC SPINDLE	0.931880791384924	0.976631160795894	0.261555690332675	0.824405367404385	3720	193	non-significant
HALLMARK E2F TARGETS	0.958103361766182	0.977656491598144	0.254421745966985	0.802799227031241	3818	195	non-significant
HALLMARK PANCREAS BETA CELLS	0.768201176232002	0.909348501385274	0.358899346399089	0.77900366290574	3787	19	non-significant
HALLMARK REACTIVE OXIGEN SPECIES PATHWAY	0.937565914364058	0.976631160795894	0.272996284155979	0.693261570936469	4444	44	non-significant
HALLMARK MTORC1 SIGNALING	0.998167888074617	0.998167888074617	-0.228091805488939	-0.680459135363896	5992	194	non-significant
HALLMARK OXIDATIVE PHOSPHORYLATION	0.933344470431006	0.976631160795894	-0.266627433686747	-0.790370397817773	5586	182	non-significant
HALLMARK DNA REPAIR	0.827598072952512	0.91955341439168	-0.290383168623139	-0.832259749259055	4809	137	non-significant
HALLMARK G2M CHECKPOINT	0.800770132261845	0.90996605938846	-0.289622850619825	-0.860657923378298	4782	188	non-significant
