pathway	pval	padj	ES	NES	nMoreExtreme	size	fill
HALLMARK E2F TARGETS	0.000166889185580774	0.00154588177096216	0.827859480966064	2.68845825852824	0	195	significant
HALLMARK G2M CHECKPOINT	0.000167644593461861	0.00154588177096216	0.810883271528556	2.62301318616651	0	188	significant
HALLMARK MITOTIC SPINDLE	0.000166889185580774	0.00154588177096216	0.682504114356174	2.21641941042839	0	195	significant
HALLMARK SPERMATOGENESIS	0.000362976406533575	0.0020165355918532	0.635792168355311	1.79297740342377	1	66	significant
HALLMARK MTORC1 SIGNALING	0.0025062656641604	0.0111327018055218	0.454795144892838	1.47563909927691	14	194	significant
HALLMARK GLYCOLYSIS	0.0228156160216326	0.076052053405442	0.416048536831606	1.33695766384292	134	178	non-significant
HALLMARK MYC TARGETS V1	0.0949599465954606	0.215818060444229	0.370638643596273	1.20364209774262	568	195	non-significant
HALLMARK ESTROGEN RESPONSE LATE	0.109760273972603	0.228667237442922	0.378319489827016	1.2019389363608	640	160	non-significant
HALLMARK PI3K AKT MTOR SIGNALING	0.145748269128351	0.263182703789831	0.404907432207004	1.19901182751362	820	92	non-significant
HALLMARK DNA REPAIR	0.191685510523569	0.309170178263821	0.364611490267791	1.13600525464572	1101	137	non-significant
HALLMARK UV RESPONSE UP	0.547051661158462	0.73925900156549	0.307220959085889	0.957195900772464	3144	137	non-significant
HALLMARK NOTCH SIGNALING	0.727508810981265	0.909386013726581	0.338585220794845	0.835891037461276	3921	31	non-significant
HALLMARK APOPTOSIS	0.919115105426892	0.999275887038378	0.255629817622078	0.801006734014802	5317	141	non-significant
HALLMARK APICAL JUNCTION	0.9329561042524	0.999275887038378	0.252594500098657	0.800535822367198	5440	157	non-significant
HALLMARK INFLAMMATORY RESPONSE	0.959123325795791	0.999275887038378	0.247393396324784	0.770793586299747	5513	137	non-significant
HALLMARK UNFOLDED PROTEIN RESPONSE	0.951004582305252	0.999275887038378	0.25083821361766	0.757849792253789	5395	106	non-significant
HALLMARK CHOLESTEROL HOMEOSTASIS	0.999275887038378	0.999275887038378	0.195942362319096	0.560752705006075	5519	73	non-significant
HALLMARK PROTEIN SECRETION	0.997024490730144	0.999275887038378	-0.214855933820232	-0.661173949954691	4355	92	non-significant
HALLMARK HYPOXIA	0.987624363018685	0.999275887038378	-0.229744331103801	-0.766035098591891	4069	164	non-significant
HALLMARK KRAS SIGNALING DN	0.920723537293435	0.999275887038378	-0.258651088296703	-0.777523159250529	4122	77	non-significant
HALLMARK ALLOGRAFT REJECTION	0.966475095785441	0.999275887038378	-0.239245698020781	-0.788171779910283	4035	148	non-significant
HALLMARK P53 PATHWAY	0.959881860694068	0.999275887038378	-0.241677542902388	-0.815553455662544	3899	182	non-significant
HALLMARK APICAL SURFACE	0.660013018008245	0.868438181589796	-0.339479627536661	-0.874543900346879	3041	33	non-significant
HALLMARK COMPLEMENT	0.718727404193782	0.909386013726581	-0.272733724571532	-0.910017931382695	2981	163	non-significant
HALLMARK PANCREAS BETA CELLS	0.485487575694299	0.674288299575416	-0.422996640667621	-0.981222516848289	2324	20	non-significant
HALLMARK MYC TARGETS V2	0.458434936821104	0.654907052601577	-0.346484384807251	-0.993125672540477	2067	58	non-significant
HALLMARK ESTROGEN RESPONSE EARLY	0.350520455095619	0.515471257493557	-0.310629778326025	-1.03709333563261	1447	165	non-significant
HALLMARK INTERFERON GAMMA RESPONSE	0.320097442143727	0.484996124460193	-0.311363744728154	-1.04752482963187	1313	177	non-significant
HALLMARK UV RESPONSE DN	0.261599440429004	0.408749125670319	-0.33891111759098	-1.08562577823137	1121	121	non-significant
HALLMARK EPITHELIAL MESENCHYMAL TRANSITION	0.18951710749818	0.309170178263821	-0.335898448948593	-1.11998411547723	780	164	non-significant
HALLMARK INTERFERON ALPHA RESPONSE	0.188009049773756	0.309170178263821	-0.374547542043675	-1.15021246820916	830	90	non-significant
HALLMARK IL2 STAT5 SIGNALING	0.0833935888165823	0.198556163849005	-0.362978767222302	-1.21113436705495	345	163	non-significant
HALLMARK TGF BETA SIGNALING	0.147382314122305	0.263182703789831	-0.435057605314142	-1.22423727858963	669	52	non-significant
HALLMARK KRAS SIGNALING UP	0.0717026378896883	0.179256594724221	-0.370108951774198	-1.23028180694623	298	157	non-significant
HALLMARK IL6 JAK STAT3 SIGNALING	0.104287628405538	0.226712235664213	-0.421870964612441	-1.25639861556593	466	73	non-significant
HALLMARK MYOGENESIS	0.0443500825666431	0.130441419313656	-0.395691133025715	-1.29196164976357	187	138	non-significant
HALLMARK ANGIOGENESIS	0.125488493269648	0.250976986539297	-0.504914512710634	-1.29282921741723	577	32	non-significant
HALLMARK HEDGEHOG SIGNALING	0.131210191082803	0.252327290543851	-0.526755284821162	-1.30772661759942	617	27	non-significant
