baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	4241.16681905632	-0.327682511902768	0.303155456059446	-1.08090586975454	0.279738987354032	0.397370458461786
A1CF	7741.6251997318	0.0414770587621575	0.194530001748519	0.213216770623266	0.831157887951505	0.881734690449149
A2M	117284.245739007	0.571257114117695	0.276070313402857	2.06924499442316	0.0385231024278838	0.0853543341804745
A4GALT	265.828270080331	-0.748842385577584	0.214732758051184	-3.48732253231289	0.000487882596374038	0.00236989840120947
AAAS	1639.93762992827	0.121965131902354	0.0718054142586495	1.69855063384252	0.0894038846583511	0.165272164062349
AACS	709.671703823933	0.403585841541652	0.15721398754219	2.56711153919014	0.0102549619858732	0.0294639681807467
AADAC	11177.5467568434	-0.981348884039224	0.267478992051115	-3.66888209243621	0.000243613393495321	0.00132661265772673
AADAT	244.861972351277	-1.06614633563471	0.246296841388541	-4.32870486533293	1.49988771831243e-05	0.000129799902409737
AAGAB	1242.38570670134	-0.1080221233674	0.0766155765078062	-1.40992378170507	0.158562189626206	0.257802857254957
AAK1	1047.33746060186	-0.429545648789298	0.115002188820386	-3.73510846354565	0.000187634299414448	0.00106369298787218
AAMDC	1135.89889708339	0.2486272262417	0.180907796017576	1.37433118812384	0.169338888144957	0.270550555927985
AAMP	4441.7718214162	0.114728947821304	0.0705420284432637	1.62639139181516	0.103866420889323	0.186076233332969
AAR2	1837.73226993386	0.0266948046565413	0.0680358593171907	0.392363746477974	0.69478946893843	0.777535041018347
AARS	7530.56871526826	-0.0661954117015813	0.120084101575032	-0.551242094776556	0.581467727188916	0.684188411056531
AARS2	946.573928183487	0.0434613214366529	0.097272813427475	0.446798235861215	0.655020745165619	0.745348594960087
AARSD1	185.365496116029	0.0312799883289791	0.111135234098377	0.281458788319913	0.778358533072022	0.84310406808201
AASDH	255.866796942562	-0.271997863194201	0.101681273384421	-2.67500449336302	0.00747282486084576	0.0227924657907523
AASDHPPT	1139.22543898853	0.053096034711434	0.0927647531213835	0.572372942576124	0.567069342517557	0.671147755555907
AASS	532.891176674801	-1.84209329184731	0.289674871740078	-6.35917530844789	2.02839804689104e-10	9.06134368878393e-09
AATF	2606.80216729502	0.0102318178300061	0.0898682357305414	0.113853551778684	0.909353886366233	0.937822411053403
AATK	176.904210570095	1.09720535427964	0.319105943226934	3.43837329754574	0.000585220333355089	0.00275191630439753
ABAT	10381.071891569	-1.22782479760427	0.231145312465232	-5.31191735843209	1.0847779797434e-07	2.02497099820976e-06
ABCA1	3043.03104304394	0.20260921712108	0.156246187891663	1.29673062655176	0.194723887637821	0.301313583556109
ABCA10	143.503696410132	0.58247433837271	0.274733716963625	2.12014144026534	0.0339941191127334	0.0770323269381601
ABCA2	2702.42891972651	-0.308868701475348	0.170249143070401	-1.81421589504051	0.0696444939671328	0.13637309844985
ABCA3	383.280589594064	-0.224567650249433	0.263472403027269	-0.85233841445698	0.394026290880938	0.511330321382606
ABCA4	114.457663263447	0.402990952254221	0.25065624579445	1.60774350935062	0.107891365198757	0.191286798432995
ABCA5	1689.71828333542	0.225632701931694	0.147346157591637	1.53131038921982	0.12569269910184	0.215855595141022
ABCA6	3114.55928986961	-1.11687134015537	0.256768005536103	-4.34972939024652	1.36305633055742e-05	0.000119799150355301
ABCA7	509.018484711604	-0.219303488975623	0.190001647018715	-1.15421888397642	0.248410442427231	0.362813673240674
ABCA8	926.135051427251	-1.7422153365926	0.321578562365388	-5.41769738560196	6.0371483924905e-08	1.25338553565248e-06
ABCA9	234.846573098439	-0.110663163499971	0.263938524360256	-0.419276283248913	0.675014227439027	0.760988267084445
ABCB1	2381.14797699755	-0.547453710311355	0.274665048278279	-1.99316845642733	0.0462430039257301	0.0988088596169938
ABCB10	1245.73587152651	0.0204455437971122	0.120113614246898	0.170218371375335	0.864838404284864	0.905664984844428
ABCB11	1518.75312111718	-2.56680944086794	0.360384802583636	-7.12241310528694	1.0605361696827e-12	1.07008487887976e-10
ABCB4	4847.6736221749	-1.4899925870394	0.292909685138697	-5.08686691713134	3.64027084631537e-07	5.69561700652362e-06
ABCB5	43.3938556894463	1.5387851089514	0.606874058164183	2.53559216817784	0.0112257383549602	0.0316530018114452
ABCB6	578.288249229407	0.0790568031241909	0.182166934829731	0.433979982141569	0.664302977509898	0.752473994372714
ABCB7	774.82760203501	-0.014916913082532	0.103338148920018	-0.144350496292299	0.885223705536307	0.921348296637724
ABCB8	2013.96743695232	-0.169721708332532	0.110851795346493	-1.531068647125	0.125752427609062	0.215920834947037
ABCB9	144.184743264296	-0.0281900015958843	0.214643206478544	-0.131334236281558	0.895510909704922	0.928683654656657
ABCC1	705.977285791464	-0.644218732055014	0.262079865843964	-2.45810081587331	0.0139673958154747	0.0376268689518558
ABCC10	654.567431764377	0.569333994262665	0.121855763009846	4.67219588306761	2.97996553874671e-06	3.29679364256735e-05
ABCC11	158.215304408703	-0.066682677600863	0.257826571312758	-0.258633845461852	0.795917766617043	0.856191535873436
ABCC2	6584.17967740508	-0.419394333446355	0.242132682053421	-1.73208478049991	0.0832584685689075	0.156275494104636
ABCC3	7432.48341832072	-0.453523584168955	0.192675836921672	-2.35381660417193	0.0185817762820314	0.0473285479944612
ABCC4	636.637452696931	-0.653951656176808	0.273527531031005	-2.39080743979179	0.0168113674561794	0.0436805586431617
ABCC5	722.274421367377	0.29175555072044	0.116379501593228	2.50693246427699	0.0121783978093188	0.0337695084802494
ABCC6	5341.93163532693	-0.579465052833902	0.18967290976062	-3.05507546420427	0.00225003899455933	0.00847115814429415
ABCC9	801.724566592547	-1.06363883976852	0.253252242216578	-4.19991874685519	2.67010782856427e-05	0.000210281136286019
ABCD1	1749.53404595897	0.440141733233582	0.162412440746959	2.71002474446726	0.006727818872472	0.0209718223033866
ABCD3	4253.59278562393	0.045970302352789	0.122994776691142	0.373758167537692	0.708584244949987	0.788363869231113
